#CentralWav (um) 	 MinWav 	 MaxWav 	 u1 	 u2
1.3485769033 	 1.3483435511 	 1.3488102554 	 0.1194042700 	 0.3109374400
1.3481101990 	 1.3478769660 	 1.3483434320 	 0.1197969900 	 0.3106994600
1.3476437330 	 1.3474103808 	 1.3478770851 	 0.1201326900 	 0.3105092100
1.3471770287 	 1.3469437957 	 1.3474102617 	 0.1201739200 	 0.3105660900
1.3467105627 	 1.3464772105 	 1.3469439149 	 0.1199760100 	 0.3108235900
1.3462438583 	 1.3460106253 	 1.3464770912 	 0.1197781900 	 0.3110809700
1.3457773924 	 1.3455440998 	 1.3460106850 	 0.1195805900 	 0.3113380700
1.3453108072 	 1.3450775743 	 1.3455440402 	 0.1193830500 	 0.3115950700
1.3448443413 	 1.3446109891 	 1.3450776935 	 0.1191856900 	 0.3118518600
1.3443776369 	 1.3441444040 	 1.3446108699 	 0.1189883400 	 0.3121086200
1.3439111710 	 1.3436778784 	 1.3441444636 	 0.1187912200 	 0.3123650900
1.3434445858 	 1.3432112932 	 1.3436778784 	 0.1185941700 	 0.3126214700
1.3429780006 	 1.3427447080 	 1.3432112931 	 0.1183971800 	 0.3128777700
1.3425114155 	 1.3422781229 	 1.3427447081 	 0.1183390000 	 0.3129666100
1.3420448303 	 1.3418115973 	 1.3422780632 	 0.1185729600 	 0.3127030100
1.3415783644 	 1.3413450122 	 1.3418117166 	 0.1189605300 	 0.3122541200
1.3411116600 	 1.3408784271 	 1.3413448930 	 0.1193487200 	 0.3118045000
1.3406451941 	 1.3404118419 	 1.3408785463 	 0.1197370400 	 0.3113547400
1.3401784897 	 1.3399452567 	 1.3404117227 	 0.1201258700 	 0.3109043800
1.3397120237 	 1.3394786715 	 1.3399453758 	 0.1205148300 	 0.3104538800
1.3392453194 	 1.3390121460 	 1.3394784928 	 0.1209043100 	 0.3100027600
1.3387789726 	 1.3385456204 	 1.3390123247 	 0.1212938200 	 0.3095516200
1.3383122683 	 1.3380790353 	 1.3385455013 	 0.1216839600 	 0.3090997600
1.3378458023 	 1.3376125097 	 1.3380790949 	 0.1220742100 	 0.3086477500
1.3373792171 	 1.3371459245 	 1.3376125097 	 0.1223420400 	 0.3083713700
1.3369126320 	 1.3366793394 	 1.3371459246 	 0.1224474100 	 0.3083279200
1.3364460468 	 1.3362127542 	 1.3366793394 	 0.1225134900 	 0.3083406900
1.3359794617 	 1.3357462287 	 1.3362126947 	 0.1225795000 	 0.3083534500
1.3355129957 	 1.3352796436 	 1.3357463479 	 0.1226454400 	 0.3083661900
1.3350462914 	 1.3348130584 	 1.3352795244 	 0.1227114000 	 0.3083789400
1.3345798254 	 1.3343464732 	 1.3348131776 	 0.1227772700 	 0.3083916700
1.3341131210 	 1.3338798881 	 1.3343463540 	 0.1228431100 	 0.3084044000
1.3336466551 	 1.3334133625 	 1.3338799477 	 0.1229088500 	 0.3084171000
1.3331800699 	 1.3329468369 	 1.3334133028 	 0.1229745800 	 0.3084298100
1.3327136040 	 1.3324803114 	 1.3329468966 	 0.1230461900 	 0.3084353300
1.3322470188 	 1.3320137263 	 1.3324803114 	 0.1232579300 	 0.3082708000
1.3317804337 	 1.3315471411 	 1.3320137263 	 0.1236045100 	 0.3079427300
1.3313138485 	 1.3310805559 	 1.3315471411 	 0.1239513100 	 0.3076144600
1.3308472633 	 1.3306140304 	 1.3310804963 	 0.1242981700 	 0.3072861300
1.3303807974 	 1.3301474452 	 1.3306141496 	 0.1246452600 	 0.3069575800
1.3299140930 	 1.3296808601 	 1.3301473260 	 0.1249929000 	 0.3066285100
1.3294476271 	 1.3292142749 	 1.3296809793 	 0.1253405000 	 0.3062994800
1.3289809227 	 1.3287477493 	 1.3292140961 	 0.1256884400 	 0.3059701300
1.3285145760 	 1.3282812238 	 1.3287479282 	 0.1260363100 	 0.3056408400
1.3280478716 	 1.3278146386 	 1.3282811046 	 0.1263846600 	 0.3053111000
