# Wavelength (um) 	 Transit depth
0.2133333333 	 0.0144215360
0.2133788542 	 0.0144214466
0.2134243944 	 0.0144213702
0.2134699541 	 0.0144212562
0.2135155333 	 0.0144212005
0.2135611319 	 0.0144210769
0.2136067500 	 0.0144210014
0.2136523876 	 0.0144209022
0.2136980447 	 0.0144208015
0.2137437213 	 0.0144207235
0.2137894174 	 0.0144206410
0.2138351331 	 0.0144205558
0.2138808684 	 0.0144204524
0.2139266232 	 0.0144203525
0.2139723976 	 0.0144202724
0.2140181915 	 0.0144201858
0.2140640051 	 0.0144200638
0.2141098383 	 0.0144199751
0.2141556912 	 0.0144199058
0.2142015637 	 0.0144198167
0.2142474558 	 0.0144197127
0.2142933676 	 0.0144196236
0.2143392991 	 0.0144195387
0.2143852503 	 0.0144194430
0.2144312212 	 0.0144193632
0.2144772118 	 0.0144192528
0.2145232221 	 0.0144191711
0.2145692522 	 0.0144190927
0.2146153021 	 0.0144189726
0.2146613717 	 0.0144188926
0.2147074611 	 0.0144187856
0.2147535703 	 0.0144186929
0.2147996993 	 0.0144186184
0.2148458481 	 0.0144185076
0.2148920168 	 0.0144184386
0.2149382053 	 0.0144183155
0.2149844136 	 0.0144182527
0.2150306419 	 0.0144181451
0.2150768900 	 0.0144180765
0.2151231580 	 0.0144179917
0.2151694459 	 0.0144178719
0.2152157538 	 0.0144178000
0.2152620816 	 0.0144176901
0.2153084293 	 0.0144175824
0.2153547970 	 0.0144175357
0.2154011847 	 0.0144174046
0.2154475924 	 0.0144173400
0.2154940200 	 0.0144172264
0.2155404677 	 0.0144171571
0.2155869354 	 0.0144170210
0.2156334232 	 0.0144169755
0.2156799310 	 0.0144168648
0.2157264588 	 0.0144167612
0.2157730068 	 0.0144166697
0.2158195748 	 0.0144166087
0.2158661630 	 0.0144164912
0.2159127712 	 0.0144164198
0.2159593996 	 0.0144163101
0.2160060482 	 0.0144162377
0.2160527169 	 0.0144161192
0.2160994057 	 0.0144160313
0.2161461148 	 0.0144159625
0.2161928440 	 0.0144158429
0.2162395935 	 0.0144157539
0.2162863631 	 0.0144156574
0.2163331531 	 0.0144155786
0.2163799632 	 0.0144155050
0.2164267936 	 0.0144153853
0.2164736443 	 0.0144152894
0.2165205153 	 0.0144151932
0.2165674066 	 0.0144151293
0.2166143182 	 0.0144150291
0.2166612501 	 0.0144149348
0.2167082024 	 0.0144148377
0.2167551750 	 0.0144147302
0.2168021680 	 0.0144146637
0.2168491814 	 0.0144145575
0.2168962152 	 0.0144144716
0.2169432693 	 0.0144143944
0.2169903439 	 0.0144142713
0.2170374390 	 0.0144141966
0.2170845544 	 0.0144140884
0.2171316904 	 0.0144139954
0.2171788468 	 0.0144139404
0.2172260237 	 0.0144138116
0.2172732211 	 0.0144137478
0.2173204390 	 0.0144136492
0.2173676774 	 0.0144135503
0.2174149364 	 0.0144134540
0.2174622159 	 0.0144133713
0.2175095160 	 0.0144132829
0.2175568367 	 0.0144131730
0.2176041780 	 0.0144130766
0.2176515399 	 0.0144130019
0.2176989224 	 0.0144129175
0.2177463255 	 0.0144128159
0.2177937493 	 0.0144127093
0.2178411938 	 0.0144126296
0.2178886589 	 0.0144125127
0.2179361447 	 0.0144124430
0.2179836512 	 0.0144123347
0.2180311785 	 0.0144122382
0.2180787264 	 0.0144121661
